DRE;CODESC;TIPOESC;NOMES;DESLOC;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;DISTRITO;CDIST;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
FO;308679;CR.P.CONV;FUTURO DO AMANHA;FUTURO DO AMANHA;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA ANTÔNIO PINTO DA COSTA;10;PARQUE TIETÊ;2870040;25373365;;;Criada;BRASILANDIA;11;1106;35587035;NA;NA;;08/07/2016;2,02E+11;08/07/2016;;23/01/2020;;;CON;-23461139;-46675885;31/12/2024
MP;308680;CR.P.CONV;KAUE MARQUES;KAUE MARQUES;;SAO MIGUEL;SAO MIGUEL;RUA ASCENSO FERNANDES;1108;PARQUE PAULISTANO;8081040;25852366;;;Criada;JARDIM HELENA;44;4403;35587102;NA;NA;;15/06/2016;2,02E+11;15/06/2016;;;;;CON;-23487381;-46423405;31/12/2024
BT;308682;ESC.PART.;PORTAL DO MORUMBI, ESCOLA;PORTAL DO MORUMBI, ESCOLA;;BUTANTA;CAMPO LIMPO;RUA DOMINGOS LOPES DA SILVA;4;VILA SUZANA;5641030;37427414;37426847;;Ativa;VILA ANDRADE;83;8301;35587527;NA;NA;4 MESES A 5 ANOS;09/08/2016;232;04/08/2016;;03/04/2020;;;PAR;-23616019;-46734554;31/12/2024
MP;308683;CR.P.CONV;JOSE DIAS PEQUENO PRINCIPE;JOSE DIAS PEQUENO PRINCIPE;;SAO MIGUEL;SAO MIGUEL;AVENIDA AFONSO LOPES DE BAIÃO;490;VILA CAROLINA;8040000;20581294;;;Criada;VILA JACUI;87;8704;35587229;NA;NA;;17/06/2016;2,02E+11;17/06/2016;;02/06/2021;;;CON;-23503712;-46447861;31/12/2024
MP;308684;CR.P.CONV;HORIZONTES DO SABER;HORIZONTES DO SABER;;SAO MIGUEL;ITAIM PAULISTA;RUA VISCONDE DE ALJEZUR;439;VILA JUREMA;8130210;29639350;;;Criada;ITAIM PAULISTA;36;3610;35004071;NA;NA;;22/06/2016;2,02E+11;22/06/2016;;;;CRIANCA FELIZ III;CON;-23508326;-46373485;31/12/2024
MP;308686;CR.P.CONV;VOVO FATIMA III;VOVO FATIMA III;;SAO MIGUEL;ITAIM PAULISTA;RUA DESEMBARGADOR JUAREZ MATTOS BARRETO BEZERRA DE MENEZES;82;CIDADE KEMEL;8130450;25717292;;;Criada;ITAIM PAULISTA;36;3610;35004072;NA;NA;;22/06/2016;2,02E+11;22/06/2016;;;;CRIANCA FELIZ IV;CON;-23500428;-46369083;31/12/2024
MP;308687;CR.P.CONV;CATAVENTO;CATAVENTO;;SAO MIGUEL;ITAIM PAULISTA;RUA MINORI;1956;JARDIM INDAIÁ;8141170;25613166;;;Criada;ITAIM PAULISTA;36;3608;35587497;NA;NA;;26/04/2016;2,02E+11;26/04/2016;;23/10/2021;;CAMINHOS DO SABER;CON;-23518295;-46395789;31/12/2024
MP;308688;CR.P.CONV;INFANCIA COM AFETO;INFANCIA COM AFETO;;SAO MIGUEL;SAO MIGUEL;RUA APIUQUIRIBO;5;VILA AIMORÉ;8190030;25852423;;;Criada;JARDIM HELENA;44;4404;35587345;NA;NA;;20/06/2016;2,02E+11;20/06/2016;;06/10/2020;;;CON;-23493575;-46405026;31/12/2024
PJ;308689;CR.P.CONV;SANTA CATARINA;SANTA CATARINA;;PIRITUBA;PIRITUBA;RUA BERNARDO ROLIM DE MOURA;270;VILA MIRANTE;2955110;26149787;;;Criada;PIRITUBA;63;6304;35587503;NA;NA;;08/08/2016;2,02E+11;08/08/2016;;;;;CON;-23466294;-46719642;31/12/2024
PJ;308692;ESC.PART.;ALMANAQUE, N.I.;ALMANAQUE, N.I.;;PIRITUBA;LAPA;RUA PONTA PORÃ;165;VILA IPOJUCA;5058000;36449603;;;Criada;LAPA;48;4803;35163120;NA;NA;;12/11/1997;162;12/11/1997;;;;;PAR;-23528529;-46706528;31/12/2024
PJ;308693;ESC.PART.;BERCARIO ESCOLA PASSO KIDS;BERCARIO ESCOLA PASSO KIDS;;PIRITUBA;PIRITUBA;AVENIDA RAIMUNDO PEREIRA DE MAGALHÃES;3660;JARDIM ÍRIS;5145200;36412589;;;Criada;PIRITUBA;63;6305;35004500;NA;NA;0 A 5 ANOS;20/08/2016;68;19/08/2016;;;;PRIMEIROS PASSOS, E.E.I.;PAR;-23495288;-46730004;31/12/2024
JT;308694;CR.P.CONV;DOCE INFANCIA IV;DOCE INFANCIA IV;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA BENJAMIN PEREIRA;690;JACANA;2274001;;;;Ativa;JACANA;39;3904;35004498;NA;NA;;21/07/2016;2,02E+11;21/07/2016;;12/02/2022;;CRESCER E APRENDER;CON;-23467762;-46586843;31/12/2024
MP;308695;ESC.PART.;CANTINHO ENCANTADO DA CRIANCA, E.E.I.;CANTINHO ENCANTADO DA CRIANCA, E.E.I.;;SAO MIGUEL;ITAIM PAULISTA;AVENIDA RIO MIRIVAÍ;9;PARQUE SANTA AMÉLIA;8122440;;;;Ativa;ITAIM PAULISTA;36;3610;35129012;NA;8,22350e+04;4 MESES A 5 ANOS;07/01/2010;49;04/12/2009;;;;;PAR;-23502423;-46376670;31/12/2024
IP;308696;CR.P.CONV;JERUSALEM;JERUSALEM;;IPIRANGA;VILA PRUDENTE;RUA PIRES PIMENTEL;439;PARQUE DA VILA PRUDENTE;3138040;23454980;;;Criada;VILA PRUDENTE;93;9302;35004002;NA;NA;;31/05/2016;2,02E+11;31/05/2016;;24/05/2020;;CORUJA SAPECA;CON;-23585620;-46580978;31/12/2024
IP;308697;ESC.PART.;TALK KIDS;TALK KIDS;;IPIRANGA;VILA MARIANA;RUA BENTO DE ANDRADE;272;JARDIM PAULISTA;4503001;30512210;30514332;;Ativa;MOEMA;32;3201;35004234;NA;NA;1 A 5 ANOS;10/09/2016;93;06/09/2016;;05/11/2021;;;PAR;-23582640;-46665819;31/12/2024
FO;308698;CR.P.CONV;COMO NOSSOS PAIS;COMO NOSSOS PAIS;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA CIRILO CORREIA;168;JARDIM DAMASCENO;2879180;39217221;;;Ativa;BRASILANDIA;11;1102;35588040;NA;NA;;19/09/2016;2,02E+11;19/09/2016;;;;;CON;-23445709;-46698995;31/12/2024
MP;308700;CR.P.CONV;BARUCH;BARUCH;;SAO MIGUEL;ITAIM PAULISTA;RUA CÂNDIDO DA ROCHA;354;JARDIM CAMARGO NOVO;8121290;29632881;;;Criada;ITAIM PAULISTA;36;3606;35587813;NA;NA;;20/06/2016;2,02E+11;20/06/2016;;03/09/2021;;TIA VALDICE;CON;-23503457;-46385008;31/12/2024
IP;308701;ESC.PART.;RUMO DO GIRASSOL, C.R.I.;RUMO DO GIRASSOL, C.R.I.;;IPIRANGA;IPIRANGA;RUA ENGENHEIRO SAMPAIO COELHO;97;VILA MONUMENTO;4261080;25913990;50620836;;Criada;IPIRANGA;34;3403;35004235;NA;NA;2 A 5 ANOS;24/09/2016;98;20/09/2016;;24/09/2016;;;PAR;-23579386;-46610656;31/12/2024
IP;308702;ESC.PART.;HAPPY DAY, E.I.;HAPPY DAY, E.I.;;IPIRANGA;IPIRANGA;RUA MARIA DA CONCEICAO MACIEL DE BARROS;135;VILA VERA;4295030;29463310;;;Ativa;SACOMA;68;6802;35004001;NA;NA;0 MESES A 5 ANOS;04/10/2016;102;29/09/2016;;04/10/2016;;;PAR;-23625494;-46603354;31/12/2024
IP;308703;ESC.PART.;PETIT KIDS CULTURAL CENTER;PETIT KIDS CULTURAL CENTER;;IPIRANGA;SE;RUA ITARARÉ;101;BELA VISTA;1308030;36287927;;;Criada;BELA VISTA;7;701;35004010;NA;NA;4 MESES A 5 ANOS;14/10/2016;111;07/10/2016;;14/10/2016;;MON PETIT, B.R.I.;PAR;-23554855;-46653191;31/12/2024
FO;308707;ESC.PART.;SEMENTINHA DO SABER;SEMENTINHA DO SABER;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA FRANCISCO DIOGO;295;PARQUE PERUCHE;2538000;38585081;;;Ativa;CASA VERDE;21;2102;35004107;NA;NA;2 A 5 ANOS;09/11/2016;211;28/10/2016;;09/11/2016;;;PAR;-23500496;-46654430;31/12/2024
PE;308708;ESC.PART.;EAGLE BILINGUAL SCHOOL;EAGLE BILINGUAL SCHOOL;;PENHA;MOOCA;RUA IRMÃ CAROLINA;399;BELENZINHO;3058040;35544747;;;Ativa;BELEM;8;801;35004048;NA;NA;0 A 5 ANOS;10/11/2016;469;27/09/2016;;10/11/2016;;;PAR;-23538657;-46585408;31/12/2024
IQ;308710;CR.P.CONV;CARLOS EDUARDO BARRETO;CARLOS EDUARDO BARRETO;;ITAQUERA;ITAQUERA;RUA LUÍS DE TOLEDO PIZA;220;JARDIM NOSSA SENHORA DO CARMO;8275070;27373003;;;Criada;PARQUE DO CARMO;57;5703;35004052;NA;NA;;06/09/2016;2,02E+11;06/09/2016;;;;JARDIM FLOR DE LIS II;CON;-23567661;-46474016;31/12/2024
MP;308711;CR.P.CONV;EMILIA INES;EMILIA INES;;SAO MIGUEL;ITAIM PAULISTA;RUA TIBÚRCIO DE SOUSA;1143;ITAIM PAULISTA;8140000;20256392;;;Criada;ITAIM PAULISTA;36;3608;35004055;NA;NA;;31/10/2016;2,02E+11;31/10/2016;;11/06/2021;;;CON;-23506651;-46395765;31/12/2024
BT;308712;ESC.PART.;PITAGORAS, N.E.;PITAGORAS, N.E.;;BUTANTA;BUTANTA;RUA PROFESSOR MÁXIMO RIBEIRO NUNES;595;JARDIM PERI PERI;5535000;37265135;;;Ativa;BUTANTA;12;1202;35004063;NA;NA;18 MESES A 5 ANOS;18/11/2016;140;11/11/2016;;18/11/2016;;;PAR;-23583479;-46734341;31/12/2024
SA;308714;ESC.PART.;DI STEFANO, COLEGIO;DI STEFANO, COLEGIO;;SANTO AMARO;SANTO AMARO;RUA ANTÔNIO DAS CHAGAS;252;CHACARA SANTO ANTONIO ZONA SUL;4714000;51815398;;;Ativa;SANTO AMARO;71;7101;35004114;NA;NA;0 A 5 ANOS;07/12/2016;141;05/12/2016;;07/12/2016;;;PAR;-23633529;-46696629;31/12/2024
IQ;308715;ESC.PART.;OS BRASILEIRINHOS, E.E.I.;OS BRASILEIRINHOS, E.E.I.;;ITAQUERA;ITAQUERA;RUA NICOLAU CAMPANELLA;18;VILA VERDE;8230600;20522718;;;Ativa;ITAQUERA;37;3705;35004508;NA;NA;2 A 5 ANOS;09/12/2016;138;07/12/2016;;;;;PAR;-23517471;-46444143;31/12/2024
CL;308720;ESC.PART.;COLEGIO FORCA DO SABER;COLEGIO FORCA DO SABER;;CAMPO LIMPO;M'BOI MIRIM;RUA THEREZA MAIA PINTO;217;VILA PREL;5780390;55122172;;;Ativa;JARDIM SAO LUIS;46;4601;35004186;NA;NA;3 A 5 ANOS;16/12/2016;339;14/12/2016;;13/07/2018;;TURMINHA DA JULIANA, E,I.;PAR;-23646656;-46754047;31/12/2024
FO;308722;ESC.PART.;ESTRELA DO AMANHA, E.E.I.;ESTRELA DO AMANHA, E.E.I.;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;AVENIDA CLAVÁSIO ALVES DA SILVA;479;VILA SIQUEIRA ZONA NORTE;2722030;39329507;;;Ativa;LIMAO;50;5003;35323412;NA;NA;0 A 5 ANOS;17/12/2016;480;08/12/2016;;;;;PAR;-23499428;-46677889;31/12/2024
MP;308724;CR.P.CONV;SEMENTE DO AMANHA;SEMENTE DO AMANHA;;SAO MIGUEL;ITAIM PAULISTA;RUA VALDEMAR TAVEIRA DOS SANTOS;352;CIDADE KEMEL;8130095;20256904;;;Criada;ITAIM PAULISTA;36;3610;35004129;NA;NA;;14/12/2016;2,02E+11;14/12/2016;;13/12/2019;;;CON;-23511436;-46369548;31/12/2024
IQ;308725;CR.P.CONV;CHEIRINHO DE NENEM;CHEIRINHO DE NENEM;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA HEMISFÉRIO;713;CHÁCARA BELENZINHO;3375000;20245017;;;Criada;VILA FORMOSA;85;8504;35581008;NA;NA;;18/12/2015;2,02E+11;18/12/2015;;29/11/2017;;VOVO LUIZA;CON;-23574293;-46548763;31/12/2024
SM;308726;CR.P.CONV;NOVA GERACAO;NOVA GERACAO;;SAO MATEUS;SAO MATEUS;RUA LUIZ VICENTE PRADO FREIRE;127;JARDIM IGUATEMI;8380215;26767027;;;Criada;IGUATEMI;33;3305;35004134;NA;NA;;13/12/2016;2,02E+11;13/12/2016;;13/12/2018;;;CON;-23600722;-46438618;31/12/2024
CS;308727;CR.P.CONV;CASA BRANCA;CASA BRANCA;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA GENERAL CARLOS DE PAULA CHAVES;97;JARDIM TRES CORACOES;4855320;59318279;;;Ativa;GRAJAU;30;3006;35004147;NA;NA;;15/12/2016;2,02E+11;15/12/2016;;;;;CON;-23768338;-46683158;31/12/2024
PE;308728;CR.P.CONV;ADONAI;ADONAI;;PENHA;PENHA;RUA LONDRES;611;VILA LONDRINA;3731030;20821547;;;Criada;CANGAIBA;18;1801;35004148;NA;NA;;12/12/2016;2,02E+11;12/12/2016;;02/07/2019;;;CON;-23509604;-46535040;31/12/2024
PE;308729;CR.P.CONV;RELUZ;RELUZ;;PENHA;ERMELINO MATARAZZO;RUA FERNÃO MENDES PINTO;634;PARQUE BOTURUSSU;3803000;22142415;;;Criada;ERMELINO MATARAZZO;28;2803;35004155;NA;NA;;12/12/2016;2,02E+11;12/12/2016;;;;;CON;-23500682;-46486925;31/12/2024
FO;308730;CR.P.CONV;MUNDO DE SOFIA;MUNDO DE SOFIA;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;AVENIDA DEPUTADO CANTÍDIO SAMPAIO;3436;VILA SOUZA;2860001;39211024;;;Ativa;BRASILANDIA;11;1105;35004152;NA;NA;;09/12/2016;2,02E+11;09/12/2016;;;;;CON;-23455166;-46694718;31/12/2024
CS;308731;CR.P.CONV;ITATINGA - NUCLEO II;ITATINGA - NUCLEO II;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA CLARISSA;231;JARDIM EDI;4851070;59323971;;;Ativa;GRAJAU;30;3010;35004151;NA;NA;;20/12/2016;2,02E+11;20/12/2016;;09/10/2020;;;CON;-23753071;-46670465;31/12/2024
FO;308732;CR.P.CONV;RUTH ROCHA;RUTH ROCHA;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;AVENIDA FRANCISCO MACHADO DA SILVA;99;JARDIM PERI;2678000;38594890;;;Ativa;CACHOEIRINHA;13;1302;35004159;NA;NA;;09/12/2016;2,02E+11;09/12/2016;;;;;CON;-23457094;-46661878;31/12/2024
G;308733;CR.P.CONV;LORIS MALAGUZZI;LORIS MALAGUZZI;;GUAIANASES;CIDADE TIRADENTES;RUA ÉDSON CHAGAS;11;JARDIM PÉROLA I;8474320;50508115;;;Criada;CIDADE TIRADENTES;25;2502;35004160;NA;NA;;23/11/2016;2,02E+11;23/11/2016;;;;SOL NASCENTE III;CON;-23584147;-46385162;31/12/2024
JT;308734;CR.P.CONV;ESTRELA DO AMANHA;ESTRELA DO AMANHA;;JACANA/TREMEMBE;JACANA/TREMEMBE;AVENIDA SENADOR JOSÉ ERMÍRIO DE MORAES;210;TREMEMBÉ;2357000;27379734;;;Ativa;TREMEMBE;81;8106;35004153;NA;NA;;09/11/2016;2,02E+11;09/11/2016;;;;;CON;-23453790;-46614548;31/12/2024
CL;308735;CR.P.CONV;ALICE ALVES II;ALICE ALVES II;;CAMPO LIMPO;M'BOI MIRIM;ESTRADA DA CACHOEIRINHA;18;PARQUE SANTA BÁRBARA;4960000;58956222;;;Ativa;JARDIM ANGELA;43;4308;35004165;NA;NA;;20/12/2016;2,02E+11;20/12/2016;;;;PRO REI I;CON;-23722169;-46785294;31/12/2024
CL;308736;CR.P.CONV;MACEDONIA III;MACEDONIA III;;CAMPO LIMPO;M'BOI MIRIM;RUA ANA LÚCIA DE AMICIS;309;JARDIM VERA CRUZZONA SUL;4965020;981859217;976098719;;Ativa;JARDIM ANGELA;43;4307;35004166;NA;NA;;20/12/2016;2,02E+11;20/12/2016;;;;PRO REI II;CON;-23736708;-46776488;31/12/2024
IQ;308737;CR.P.CONV;VALE DOS SONHOS;VALE DOS SONHOS;;ITAQUERA;ITAQUERA;RUA FLOR DE CABOCLO;17;PARQUE GUARANI;8235360;20521647;;;Ativa;ITAQUERA;37;3707;35004168;NA;NA;;08/12/2016;2,02E+11;08/12/2016;;;;;CON;-23518199;-46458094;31/12/2024
CS;308738;CR.P.CONV;JARDIM DAS ARAUCARIAS;JARDIM DAS ARAUCARIAS;;CAPELA DO SOCORRO;PARELHEIROS;RUA CAROLINA REIMBERG;57;PARELHEIROS;4882000;59215777;;;Ativa;PARELHEIROS;55;5505;35004167;NA;NA;;15/12/2016;2,02E+11;15/12/2016;;;;;CON;-23803182;-46735622;31/12/2024
IQ;308739;CR.P.CONV;LEAO DA TRIBO DE JUDA;LEAO DA TRIBO DE JUDA;;ITAQUERA;ITAQUERA;RUA FLOR DA ESPERANCA;380;PARQUE GUARANI;8235500;20535719;;;Ativa;ITAQUERA;37;3707;35004171;NA;NA;;24/11/2016;2,02E+11;24/11/2016;;;;;CON;-23520256;-46459256;31/12/2024
CS;308740;CR.P.CONV;NOVA AMERICA;NOVA AMERICA;;CAPELA DO SOCORRO;PARELHEIROS;RUA JANE VANINE CAPOZI;79;CIDADE NOVA AMÉRICA;4897340;59773843;;;Ativa;PARELHEIROS;55;5512;35004164;NA;NA;;30/11/2016;2,02E+11;30/11/2016;;29/04/2021;;;CON;-23870485;-46676312;31/12/2024
IQ;308742;CR.P.CONV;VOVO PHILOMENA MENDES PRADO;VOVO PHILOMENA MENDES PRADO;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA REI ALBERTO DA BÉLGICA;449;CHÁCARA BELENZINHO;3381000;21164661;;;Criada;VILA FORMOSA;85;8505;35004177;NA;NA;;22/11/2016;20160245288;22/11/2016;;;;MARAVILHA II;CON;-23578026;-46534650;31/12/2024
SM;308743;ESC.PART.;NOVO MILENIO, COLEGIO;NOVO MILENIO, COLEGIO;;SAO MATEUS;SAPOPEMBA;RUA SARGENTO HERMÍNIO AURÉLIO SAMPAIO;178;CONJUNTO HABITACIONAL MARECHAL MASCARENH;3977220;20159079;;;Criada;SAPOPEMBA;76;7605;35801094;NA;NA;2 A 5 ANOS;01/12/2016;142;30/11/2016;;27/11/2018;;;PAR;-23614685;-46494677;31/12/2024
PJ;308744;CR.P.CONV;MENSAGEM DE PAZ;MENSAGEM DE PAZ;;PIRITUBA;PIRITUBA;RUA RIO TUBARÃO;16;JARDIM PIRITUBA;2985060;35623151;;;Criada;JARAGUA;42;4208;35004179;NA;NA;;16/12/2016;2,02E+11;16/12/2016;;29/07/2024;;;CON;-23439932;-46719385;31/12/2024
PJ;308745;ESC.PART.;ARTE DE SER, ASSOCIACAO EDUCACIONAL;ARTE DE SER, ASSOCIACAO EDUCACIONAL;;PIRITUBA;LAPA;RUA MÁRIO;319;VILA ROMANA;5048010;29360332;;;Criada;LAPA;48;4803;35004389;NA;NA;2 A 5 ANOS;14/01/2017;5;11/01/2017;;14/05/2019;;;PAR;-23531264;-46697611;31/12/2024
MP;308748;CR.P.CONV;CONSTRUINDO SONHOS;CONSTRUINDO SONHOS;;SAO MIGUEL;SAO MIGUEL;AVENIDA DOUTOR JOSÉ ARTUR NOVA;2419;PARQUE PAULISTANO;8090000;25812137;;;Criada;JARDIM HELENA;44;4401;35004189;NA;NA;;28/12/2016;2,02E+11;28/12/2016;;14/11/2017;;;CON;-23476731;-46427082;31/12/2024
IQ;308749;CR.P.CONV;VALENTES DE DEUS;VALENTES DE DEUS;;ITAQUERA;ITAQUERA;RUA PROFESSORA LUCILA CERQUEIRA;111;JARDIM SÃO PEDRO;8420690;25546213;;;Ativa;JOSE BONIFACIO;47;4702;35004184;NA;NA;;16/12/2016;2,02E+11;16/12/2016;;;;;CON;-23546780;-46427424;31/12/2024
MP;308751;CR.P.CONV;UNIAO DE VILA NOVA II;UNIAO DE VILA NOVA II;;SAO MIGUEL;SAO MIGUEL;RUA FLOR DO ESPÍRITO SANTO;253;VILA JACUÍ;8050080;20544779;;;Criada;VILA JACUI;87;8707;35004220;NA;NA;;31/08/2016;2,02E+11;31/08/2016;;;;;CON;-23512687;-46454937;31/12/2024
IQ;308752;CR.P.CONV;FUTURO FELIZ;FUTURO FELIZ;;ITAQUERA;ITAQUERA;RUA MATEUS MENDES PEREIRA;596;JARDIM NOSSA SENHORA DO CARMO;8275010;27410263;;;Ativa;PARQUE DO CARMO;57;5703;35004222;NA;NA;;28/12/2016;2,02E+11;28/12/2016;;;;;CON;-23568857;-46470700;31/12/2024
IQ;308753;CR.P.CONV;RUTE DE MELLO, PROFA;RUTE DE MELLO, PROFA;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA DOUTOR ARTUR DE SANTI;33;CHÁCARA MAFALDA;3373060;35967468;;;Ativa;VILA FORMOSA;85;8504;35004223;NA;NA;;21/11/2016;2,02E+11;21/11/2016;;;;;CON;-23574275;-46554083;31/12/2024
CS;308754;CR.P.CONV;SAO FRANCISCO DE ASSIS;SAO FRANCISCO DE ASSIS;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;ESTRADA CANAL DE COCAIA;5000;PARQUE RESIDENCIAL COCAIA;4849032;59764415;;;Ativa;GRAJAU;30;3013;35004226;NA;NA;;20/12/2016;2,02E+11;20/12/2016;;;;;CON;-23729839;-46663515;31/12/2024
IQ;308755;CR.P.CONV;FRANCISCO RODRIGUES;FRANCISCO RODRIGUES;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA ARAPOCA;318;VILA FORMOSA;3362000;22680688;;;Ativa;VILA FORMOSA;85;8502;35004225;NA;NA;;28/12/2016;2,02E+11;28/12/2016;;;;;CON;-23565048;-46542264;31/12/2024
IP;308756;CR.P.CONV;EDUCAR;EDUCAR;;IPIRANGA;IPIRANGA;AVENIDA DOM PEDRO I;824;VILA MONUMENTO;1552001;20632019;;;Criada;IPIRANGA;34;3401;35004229;NA;NA;;28/10/2016;2,02E+11;28/10/2016;;22/11/2017;;;CON;-23572539;-46611187;31/12/2024
IP;308757;CR.P.CONV;ESPACO DA CRIANCA IV;ESPACO DA CRIANCA IV;;IPIRANGA;VILA MARIANA;RUA APOTRIBU;178;PARQUE IMPERIAL;4302000;22759433;;;Criada;SAUDE;77;7703;35004232;NA;NA;;28/10/2016;2,02E+11;28/10/2016;;28/11/2017;;;CON;-23620783;-46638011;31/12/2024
JT;308759;ESC.PART.;AQUARELA, ESCOLA;AQUARELA, ESCOLA;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;AVENIDA ANGELINA;582;VILA LEONOR;2077000;22182848;;;Ativa;VILA GUILHERME;86;8601;35004444;NA;NA;;22/02/2017;33;20/02/2017;;;;COLEGIO AQUARELA;PAR;-23503499;-46597743;31/12/2024
SM;308762;CR.P.CONV;PASSO A PASSO III;PASSO A PASSO III;;SAO MATEUS;SAO MATEUS;RUA DELGADO DE ESCOBAR;39;JARDIM SANTO ANDRÉ;8390060;20597150;;;Criada;SAO RAFAEL;75;7505;35004294;NA;NA;;13/12/2016;2,02E+11;13/12/2016;;06/07/2019;;;CON;-23633161;-46441704;31/12/2024
IP;308763;ESC.PART.;PACTO BERCARIO, ESCOLA E.I. UNIDADE I;PACTO BERCARIO, ESCOLA E.I. UNIDADE I;;IPIRANGA;VILA MARIANA;RUA CARLOS STEINEN;59;PARAÍSO;4004010;30514438;;;Ativa;VILA MARIANA;90;9001;35004371;NA;NA;2 A 5 ANOS;09/03/2017;27;24/02/2017;;;;;PAR;-23574222;-46649186;31/12/2024
PE;308766;ESC.PART.;ESTRELAS DE ANALIA FRANCO, ESCOLA;ESTRELAS DE ANALIA FRANCO, ESCOLA;;PENHA;MOOCA;RUA BUTIÁ;53;VILA REGENTE FEIJÓ;3346010;20760502;913183530;;Ativa;AGUA RASA;1;102;35004336;NA;NA;4 MESES A 5 ANOS;11/03/2017;22;09/03/2017;;11/03/2017;;;PAR;-23559013;-46570327;31/12/2024
G;308769;CR.P.CONV;PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA VI;PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA VI;;GUAIANASES;GUAIANASES;RUA CARDOSO DE ABREU;270;JARDIM SAO PAULOZONA LESTE;8460160;38086708;;;Criada;GUAIANASES;31;3103;35004338;NA;NA;;04/11/2016;2,02E+11;04/11/2016;;17/11/2022;;SORRISO INOCENTE;CON;-23551898;-46398714;31/12/2024
IP;308770;ESC.PART.;ESCOLA INICIATIVA;ESCOLA INICIATIVA;;IPIRANGA;VILA MARIANA;RUA CARAMURU;1072;SAÚDE;4138002;985694507;;;Ativa;SAUDE;77;7703;35004377;NA;NA;;22/03/2017;38;17/03/2017;;06/08/2024;;;PAR;-23613236;-46635314;31/12/2024
BT;308773;ESC.PART.;ESCOLA ABRA - EDUCACAO POR PRINCIPIO;ESCOLA ABRA - EDUCACAO POR PRINCIPIO;;BUTANTA;BUTANTA;RUA LUÍS GONZAGA DE AZEVEDO NETO;183;VILA TRAMONTANO;5690040;37550139;;;Ativa;MORUMBI;54;5404;35006434;NA;NA;;29/03/2017;9;14/03/2017;;02/06/2021;;BABYS WORLD BERCARIO EDUCACAO INFANTIL;PAR;-23614752;-46704800;31/12/2024
PJ;308775;CR.P.CONV;AQUARELA;AQUARELA;;PIRITUBA;PIRITUBA;RUA JOSÉ MOREIRA FRAGA;498;PARQUE PANAMERICANO;2992170;43804457;;;Criada;JARAGUA;42;4207;35004361;NA;NA;;10/02/2017;2,02E+11;10/02/2017;;;;MARGARIDA;CON;-23449188;-46725143;31/12/2024
G;308776;CR.P.CONV;ALPS-VILA IOLANDA;ALPS-VILA IOLANDA;;GUAIANASES;CIDADE TIRADENTES;RUA EDUARDO ABELIM;3;JARDIM PÉROLA I;8474330;50502944;;;Criada;CIDADE TIRADENTES;25;2502;35004365;NA;NA;;07/02/2017;2,02E+11;07/02/2017;;;;SEGUNDO MANDAMENTO;CON;-23583988;-46384500;31/12/2024
IQ;308786;ESC.PART.;E.E.I. CAMPOS PIAGET;E.E.I. CAMPOS PIAGET;;ITAQUERA;ITAQUERA;RUA JOHN SPEERS;1469;JARDIM HELIAN;8265040;25246999;;;Ativa;PARQUE DO CARMO;57;5702;35004511;NA;NA;;13/05/2017;48517;08/05/2017;;;;;PAR;-23566552;-46457696;31/12/2024
BT;308787;ESC.PART.;ESCOLA COALA KIDS;ESCOLA COALA KIDS;;BUTANTA;BUTANTA;RUA KAORU ODA;43;JARDIM DAS VERTENTES;5541060;37436890;;;Ativa;VILA SONIA;94;9401;35004517;NA;NA;4 MESES A 5 ANOS E 11 MESES;16/05/2017;484;06/04/2017;;13/04/2022;;;PAR;-23588177;-46742444;31/12/2024
IP;308792;ESC.PART.;RAINBOW SCHOOL;RAINBOW SCHOOL;;IPIRANGA;SE;RUA ALABASTRO;512;ACLIMACAO;1531010;33417042;;;Criada;LIBERDADE;49;4901;35004541;NA;NA;0 MESES A 5 ANOS;06/06/2017;78;01/06/2017;;;;;PAR;-23572165;-46629444;31/12/2024
