DRE;CODESC;TIPOESC;NOMES;DESLOC;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;DISTRITO;CDIST;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
IP;91936;EMEI;MANUEL SOARES NEIVA, CEL.;MANUEL SOARES NEIVA, CEL.;;IPIRANGA;IPIRANGA;PRACA COSMOPOLITA;9;VILA DOM PEDRO I;4277030;50622288;;;Ativa;IPIRANGA;34;3403;35051809;1668114;1,63000e+14;;;;;;27/03/1985;;JARDIM COSMOPOLITA - EMEI 66;DIR;-23603635;-46612631;31/12/2024
IP;91944;EMEI;THEREZINHA BATISTA PETTAN, PROFA.;THEREZINHA BATISTA PETTAN, PROFA.;;IPIRANGA;IPIRANGA;RUA VIGARIO ALBERNAZ;834;VILA GUMERCINDO;4134021;50614908;50619096;50614908;Ativa;CURSINO;27;2701;35087610;1668106;1,63000e+14;;02/12/1982;18449;02/12/1982;;02/03/1983;;VILA GUMERCINDO;DIR;-23607550;-46620300;31/12/2024
IP;91952;EMEI;MONTESE;MONTESE;;IPIRANGA;IPIRANGA;RUA DOMINGOS DE ROGATIS;91;JARDIM DA SAUDE;4290080;50619003;50613090;;Ativa;CURSINO;27;2702;35052361;1668103;1,63000e+14;;;;;;30/07/1985;;JARDIM DA SAUDE - PI 40;DIR;-23612960;-46616799;31/12/2024
IP;91961;EMEI;MARIO MARQUES E SERRA, PE.;MARIO MARQUES E SERRA, PE.;;IPIRANGA;IPIRANGA;RUA FRANCISCO PESTANA;10;JARDIM MARIA ESTELA;4176000;23355243;23350070;;Ativa;SACOMA;68;6802;35084396;1668132;1,63000e+14;;24/12/1980;17101;24/12/1980;;13/08/2008;;JARDIM CLIMAX;DIR;-23638377;-46605650;31/12/2024
IP;91979;CEU EMEI;ANTONIO FRANCISCO LISBOA;ANTONIO FRANCISCO LISBOA;HELIOPOLIS;IPIRANGA;IPIRANGA;LARGO SÃO JOÃO CLÍMACO;12;SÃO JOÃO CLÍMACO;4255010;29463392;;;Ativa;SACOMA;68;6801;35051858;1668522;1,63000e+14;;;;;;17/04/1985;;SAO JOAO CLIMACO - PI 69;DIR;-23623265;-46590929;31/12/2024
IP;91987;CEU EMEI;BENNO HUBERT STOLLENWERK, PE.;BENNO HUBERT STOLLENWERK, PE.;MENINOS;IPIRANGA;IPIRANGA;RUA BARBINOS;111;SÃO JOÃO CLÍMACO;4240110;29452519;;;Criada;SACOMA;68;6801;35087622;1668503;1,63000e+14;;02/12/1982;18449;02/12/1982;;02/03/1983;;INOCOOP - IPIRANGA;DIR;-23621213;-46583072;31/12/2024
IP;91995;EMEI;BATISTA CEPELOS;BATISTA CEPELOS;;IPIRANGA;IPIRANGA;RUA BARÃO DO RIO DA PRATA;5;CIDADE NOVA HELIÓPOLIS;4231004;22729351;22733381;;Ativa;SACOMA;68;6801;35051834;1668121;1,63000e+14;;;;;;30/07/1985;;VILA HELIOPOLIS - PI 84;DIR;-23605404;-46595339;31/12/2024
IP;92002;EMEI;ISABEL, PRINC.;ISABEL, PRINC.;;IPIRANGA;IPIRANGA;RUA AMADIS;453;VILA INDEPENDÊNCIA;4221000;22732570;;;Criada;IPIRANGA;34;3405;35051846;1668111;1,63000e+14;;;;;;27/03/1985;;;DIR;-23595555;-46595454;31/12/2024
IP;92011;EMEI;PEDRO I, D.;PEDRO I, D.;;IPIRANGA;IPIRANGA;PRACA NAMI JAFET;305;IPIRANGA;4205050;22729211;22731980;;Ativa;IPIRANGA;34;3402;35051810;1668116;1,63000e+14;;;;;;18/09/1985;;IPIRANGA - PI 2;DIR;-23580083;-46605766;31/12/2024
PE;92029;EMEI;TAMANDARE, ALM;TAMANDARE, ALM;;PENHA;MOOCA;LARGO SAO RAFAEL;185;MOOCA;3113020;27966928;22912722;;Ativa;MOOCA;53;5301;35052012;1674169;1,63000e+14;;;;;;30/07/1985;;SAO RAFAEL - PI 16;DIR;-23558594;-46603067;31/12/2024
PE;92037;EMEI;MARCILIO DIAS;MARCILIO DIAS;;PENHA;MOOCA;RUA JAIBARAS;360;BELENZINHO;3163040;26942458;;26931896;Ativa;MOOCA;53;5302;35052024;1674166;1,63000e+14;;;;;;18/09/1985;;MOOCA - PI 43;DIR;-23548561;-46597244;31/12/2024
PE;92045;EMEI;GUILHERME RUDGE;GUILHERME RUDGE;;PENHA;MOOCA;PRACA MAJOR GUILHERME RUDGE;128;BELENZINHO;3014020;22929783;;26949790;Ativa;BELEM;8;801;35051573;1674162;1,63000e+14;;;;;;20/03/1985;;;DIR;-23537411;-46589151;31/12/2024
PE;92053;EMEI;ALUISIO DE AZEVEDO;ALUISIO DE AZEVEDO;;PENHA;MOOCA;RUA FAROL PAULISTANO;250;VILA ORATÓRIO;3192060;20283768;29653891;;Ativa;AGUA RASA;1;101;35052723;1674152;1,63000e+14;;;;;;18/09/1985;;VILA ORATORIO - PI 62;DIR;-23571846;-46575657;31/12/2024
PE;92061;EMEI;CORNELIO PIRES;CORNELIO PIRES;;PENHA;MOOCA;PRACA MANOEL DE MESQUITA;15;VILA INVERNADA;3350040;29650372;;20283688;Ativa;AGUA RASA;1;102;35085510;1674154;1,63000e+14;;02/04/1982;17912;02/04/1982;;01/09/1982;;VILA DIVA;DIR;-23570186;-46568298;31/12/2024
PE;92070;EMEI;MARIO ALVES DE CARVALHO, DR.;MARIO ALVES DE CARVALHO, DR.;;PENHA;MOOCA;RUA PARQUE D PEDRO I;NA;VILA INVERNADA;3351125;26712684;;26710067;Ativa;AGUA RASA;1;102;35052036;1674158;1,63000e+14;;;;;;30/07/1985;;;DIR;-23570098;-46564050;31/12/2024
IQ;92088;EMEI;FRANCISCO ROQUETTI;FRANCISCO ROQUETTI;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;PRACA LEÃO X;NA;VILA FORMOSA;3359025;21545184;;21543271;Ativa;VILA FORMOSA;85;8503;35052449;1676180;1,63000e+14;;;;;;18/09/1985;;VILA FORMOSA NOVO;DIR;-23569162;-46549514;31/12/2024
IQ;92096;EMEI;JOAO ORTALE, PROF.;JOAO ORTALE, PROF.;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;PRACA DIOGO DE AGUIRRE;NA;VILA FORMOSA;3363110;26742062;;;Ativa;VILA FORMOSA;85;8502;35052553;1676182;1,63000e+14;;;;;;29/05/1985;;VILA FORMOSA - PI 73;DIR;-23563957;-46543250;31/12/2024
IQ;92100;EMEI;ALBERTO MESQUITA DE CAMARGO, PROF.;ALBERTO MESQUITA DE CAMARGO, PROF.;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;PRACA BARAO HOMEM DE MELO;NA;VILA CARRAO;3423010;22961400;;20980333;Ativa;CARRAO;20;2002;35052486;1676175;1,63000e+14;;;;;;17/04/1985;;VILA SANTA ISABEL - PI 70;DIR;-23557791;-46541543;31/12/2024
IQ;92118;EMEI;NEYL GOMEZ MARTIN, PROFA.;NEYL GOMEZ MARTIN, PROFA.;;ITAQUERA;ARICANDUVA/FORMOSA/CARRAO;RUA MIGUEL BASTOS SOARES;275;JARDIM CATARINA;3910000;;;21541057;Ativa;ARICANDUVA;4;404;35085534;1676166;1,63000e+14;;;;;;01/09/1982;;JARDIM IVA;DIR;-23584207;-46516604;31/12/2024
